category,product_name,brand,price,rating,rating_avg,rating_count,scrape_date
Mouse,"Logitech G502 HERO High Performance Wired Gaming Mouse, HERO 25K Sensor, 25,600 DPI, RGB, Adjustable Weights, 11 Programmable Buttons, On-Board Memory, PC / Mac",Logitech,49.99,,4.2,,2026-01-14
Mouse,"MSI VERSA300 ELITE 2.4 GHz Wireless (MSI Swiftspeed) Bluetooth 5.3 USB 2.0 Optical RGB Gaming Mouse, Up to 26000 DPI, 60 Million Clicks",Unknown,50.20,,4.6,,2026-01-14
Mouse,"Corsair M75 Wireless RGB Lightweight FPS Gaming Mouse – 26,000 DPI, Swappable Side Buttons, iCUE Compatible, PC – Black",Unknown,69.99,,,,2026-01-14
Mouse,"Corsair NIGHTSABRE WIRELESS RGB Gaming Mouse, hyper-fast sub-1ms SLIPSTREAM WIRELESS, 26k DPI Optical Sensor, 11 fully programmable buttons, Six-zone RGB backlighting, Black",Unknown,149.99,,4.0,,2026-01-14
Mouse,"Logitech G PRO 2 LIGHTSPEED Wireless Gaming Mouse, Right- or Left-Handed Mouse with up to 4 Customizable and Switchable Magnetic Side Buttons, 44K DPI Sensor, USB-C Charging, for PC/Mac - White",Logitech,119.99,,,,2026-01-14
Mouse,"Logitech G903 LIGHTSPEED Wireless Gaming Mouse W/ Hero 25K Sensor, PowerPlay Compatible, 140+ Hour with Rechargeable Battery and Lightsync RGB, Ambidextrous, 107G+10G optional, 25,600 DPI, Black",Logitech,94.99,,3.9,,2026-01-14
Mouse,Razer Orochi V2 Mobile Wireless Gaming Mouse: Ultra Lightweight - 2 Wireless Modes - Up to 950hrs Battery Life - Mechanical Mouse Switches - 5G Advanced 18K DPI Optical Sensor - White,Unknown,34.99,,4.5,,2026-01-14
Mouse,"Logitech (G) G502X  Wired Gaming Mouse,    RGB with Weighted Macro Programming, 25600DPI, 11buttons,  Laptop Big Hand Mouse,for Windows® 7 or later/macOS 10.11 or later/ChromeOS, white",Unknown,69.99,,,,2026-01-14
Mouse,"Logitech (G) G502X  wired Gaming Mouse,    RGB with Weighted Macro Programming, 25600DPI, 11buttons,  Laptop Big Hand Mouse,for Windows® 7 or later/macOS 10.11 or later/ChromeOS, white",Unknown,67.99,,,,2026-01-14
Mouse,"YEAH MAGIC Tyrfing V1 Wireless Gaming Mouse with RGB Charging Dock, 12K DPI,  59g Ultra-Lightweight, Tri-Mode Connectivity, 300mah Battery, Ergonomic, 1K Report Rate, With Magnetic Dock,White",YEAH MAGIC,23.99,,5.0,,2026-01-14
Mouse,"ASUS TUF Gaming M3 Gen II ultralight 59-gram wired gaming mouse, IP56 dust and water resistance, 8000 dpi sensor, six programmable buttons, Black",ASUS,29.99,,3.7,,2026-01-14
Mouse,"Redragon M991 Wireless Gaming Mouse, 26000 DPI 3-Mode Gamer Mice w/Rapid Fire Key, 9 Macro Buttons, Powerful Capacity and RGB Backlight for PC/Mac/Laptop",Unknown,36.99,,,,2026-01-14
Mouse,"Logitech G502 HERO High Performance Wired Gaming Mouse, HERO 25K Sensor, 25,600 DPI, RGB, Adjustable Weights, 11 Programmable Buttons, On-Board Memory, PC / Mac black",Logitech,49.99,,,,2026-01-14
Mouse,"Redragon M811 PRO Wireless MMO Gaming Mouse, 15 Programmable Buttons RGB Gamer Mouse w/Ergonomic Natural Grip Build, 10 Side Macro Keys, Software Supports DIY Keybinds & Backlit",Unknown,39.99,,3.8,,2026-01-14
Mouse,"Logitech G502 X LIGHTSPEED Wireless Gaming Mouse - Optical mouse with LIGHTFORCE hybrid optical-mechanical switches, HERO 25K gaming sensor, compatible with PC - macOS/Windows - White",Logitech,109.99,,4.9,,2026-01-14
Mouse,"Logitech G705 Wireless Gaming Mouse, Customizable LIGHTSYNC RGB Lighting, Lightspeed Wireless, Bluetooth Connectivity, Lightweight, PC/Mac/Laptop - White Mist",Logitech,76.99,,,,2026-01-14
Mouse,"Zelotes F-18 Wireless/Wired Gaming Mouse , RGB 7 Buttons True 3200 DPI Claw Grip Comfort Beginner Gaming Mouse for Window PC, Black",Unknown,29.49,,,,2026-01-14
Mouse,"Redragon M921 MMO Gaming Mouse, 12400 DPI High Precision Wired RGB Mice w/18 Programmable Buttons, 12 Side Macro Keys, Software Supports for PC Laptop",Unknown,29.99,,,,2026-01-14
Mouse,Razer DeathAdder V3 HyperSpeed Ultra-lightweight Wireless Ergonomic Esports Gaming Mouse,Unknown,84.99,,4.2,,2026-01-14
Mouse,"Silent Wireless Mouse, 2.4G Ergonomic Optical Mouse for Gaming, Computer Mouse for Laptop, PC, Computer, ,Notebook, 6 Buttons,1200-2400-3200 Adjustable DPI, Play&Play(Battery NOT included)",Unknown,13.99,,4.3,,2026-01-14
Mouse,"FMOUSE Cute Bluetooth Wireless Mouse with 2.4GHz USB Receiver, Silent Clicks, AA-Battery Powered, Durable, Lovely Cartoon Mice, Ideal for Kids, Students, Teens on Laptops, Mac, iPad, PC (Kerry Bear)",FMOUSE,29.99,,,,2026-01-14
Mouse,"Glorious Gaming Model O 2 Wireless Gaming Mouse - Hybrid 2.4GHz & Bluetooth Wireless, 68g Superlight, Long Battery Life, 26k BAMF 2.0 Sensor, RGB, Ambidextrous, 6 Buttons, PTFE Feet - White",Unknown,96.70,,5.0,,2026-01-14
Mouse,"Logitech G502 X PLUS LIGHTSPEED Wireless RGB Gaming Mouse - Optical mouse with LIGHTFORCE hybrid switches, LIGHTSYNC RGB, HERO 25K gaming sensor, compatible with PC - macOS/Windows - White",Logitech,149.99,,,,2026-01-14
Mouse,"Logitech G305 LIGHTSPEED Wireless Gaming Mouse, Hero 12K Sensor, 12,000 DPI, Lightweight, 6 Programmable Buttons, 250h Battery Life, On-Board Memory, PC/Mac - Blue",Logitech,64.99,,4.6,,2026-01-14
Mouse,Logitech G PRO X SUPERLIGHT 2c wireless gaming mouse 51 g pro-grade compact mouse with 5 programmable buttons USB-C charging 44K DPI sensor up to 8 kHz polling for PC/Mac Black 910007518,Logitech Video Collaboration,159.99,,,,2026-01-14
Mouse,"MSI VERSA 300 ELITE White Wireless Gaming Mouse - Bluetooth, 2.4GHz, 26K DPI (Adjustable), OMRON Micro Switches, 200hrs Battery",MSI,54.99,,4.6,,2026-01-14
Mouse,Razer DeathAdder V3 Pro Wireless Gaming Mouse: 63g Ultra Lightweight - Focus Pro 30K Optical Sensor - Fast Optical Switches Gen-3 - HyperSpeed Wireless - 5 Programmable Buttons - 90 Hr Battery - Black,Unknown,119.99,,4.2,,2026-01-14
Mouse,"Car Mouse for Computer, Cool and Cute Car-Shaped Mouse, Wireless 2.4Ghz Optical Mice for Laptop PC Mac (Burgundy)",Unknown,29.99,,,,2026-01-14
Mouse,"IHDAPP Wired USB Gaming Mouse, Ergonomic RGB Gaming Mice, Computer Mouse, 6 Adjustable DPI up to 12800 dpi, 9 Programmable Macro Buttons with Rapid Fire Key Compatible for PC/Laptop/Windows-Grey",Unknown,38.99,,,,2026-01-14
